ActivityHour,StepTotal
3/6/2023 5:00:00 AM,0
3/6/2023 6:00:00 AM,0
3/6/2023 7:00:00 AM,867
3/6/2023 8:00:00 AM,40
3/6/2023 9:00:00 AM,0
3/6/2023 10:00:00 AM,0
3/6/2023 11:00:00 AM,1480
3/6/2023 12:00:00 PM,2213
3/6/2023 1:00:00 PM,816
3/6/2023 2:00:00 PM,100
3/6/2023 3:00:00 PM,0
3/6/2023 4:00:00 PM,55
3/6/2023 5:00:00 PM,119
3/6/2023 6:00:00 PM,515
3/6/2023 7:00:00 PM,290
3/6/2023 8:00:00 PM,164
3/6/2023 9:00:00 PM,427
3/6/2023 10:00:00 PM,77
3/6/2023 11:00:00 PM,384
3/7/2023 12:00:00 AM,286
3/7/2023 1:00:00 AM,0
3/7/2023 2:00:00 AM,0
3/7/2023 3:00:00 AM,37
3/7/2023 4:00:00 AM,0
3/7/2023 5:00:00 AM,1104
3/7/2023 6:00:00 AM,1832
3/7/2023 7:00:00 AM,1302
3/7/2023 8:00:00 AM,1433
3/7/2023 9:00:00 AM,1428
3/7/2023 10:00:00 AM,2159
3/7/2023 11:00:00 AM,55
3/7/2023 12:00:00 PM,525
3/7/2023 1:00:00 PM,1180
3/7/2023 2:00:00 PM,1159
3/7/2023 3:00:00 PM,1538
3/7/2023 4:00:00 PM,2038
3/7/2023 5:00:00 PM,1024
3/7/2023 6:00:00 PM,1321
3/7/2023 7:00:00 PM,1574
3/7/2023 8:00:00 PM,373
3/7/2023 9:00:00 PM,730
3/7/2023 10:00:00 PM,0
3/7/2023 11:00:00 PM,0
3/8/2023 12:00:00 AM,118
3/8/2023 1:00:00 AM,148
3/8/2023 2:00:00 AM,0
3/8/2023 3:00:00 AM,0
3/8/2023 4:00:00 AM,0
3/8/2023 5:00:00 AM,0
3/8/2023 6:00:00 AM,0
3/8/2023 7:00:00 AM,0
3/8/2023 8:00:00 AM,1374
3/8/2023 9:00:00 AM,2099
3/8/2023 10:00:00 AM,2156
3/8/2023 11:00:00 AM,2561
3/8/2023 12:00:00 PM,720
3/8/2023 1:00:00 PM,808
3/8/2023 2:00:00 PM,689
3/8/2023 3:00:00 PM,441
3/8/2023 4:00:00 PM,498
3/8/2023 5:00:00 PM,1238
3/8/2023 6:00:00 PM,2206
3/8/2023 7:00:00 PM,1185
3/8/2023 8:00:00 PM,185
3/8/2023 9:00:00 PM,100
3/8/2023 10:00:00 PM,826
3/8/2023 11:00:00 PM,382
3/9/2023 12:00:00 AM,0
3/9/2023 1:00:00 AM,0
3/9/2023 2:00:00 AM,0
3/9/2023 3:00:00 AM,0
3/9/2023 4:00:00 AM,0
3/9/2023 5:00:00 AM,174
3/9/2023 6:00:00 AM,1784
3/9/2023 7:00:00 AM,309
3/9/2023 8:00:00 AM,1375
3/9/2023 9:00:00 AM,73
3/9/2023 10:00:00 AM,726
3/9/2023 11:00:00 AM,2428
3/9/2023 12:00:00 PM,1338
3/9/2023 1:00:00 PM,785
3/9/2023 2:00:00 PM,0
3/9/2023 3:00:00 PM,9
3/9/2023 4:00:00 PM,0
3/9/2023 5:00:00 PM,0
3/9/2023 6:00:00 PM,198
3/9/2023 7:00:00 PM,810
3/9/2023 8:00:00 PM,400
3/9/2023 9:00:00 PM,280
3/9/2023 10:00:00 PM,85
3/9/2023 11:00:00 PM,285
3/10/2023 12:00:00 AM,461
3/10/2023 1:00:00 AM,0
3/10/2023 2:00:00 AM,0
3/10/2023 3:00:00 AM,0
3/10/2023 4:00:00 AM,0
3/10/2023 5:00:00 AM,22
3/10/2023 6:00:00 AM,1682
3/10/2023 7:00:00 AM,374
3/10/2023 8:00:00 AM,2159
3/10/2023 9:00:00 AM,313
3/10/2023 10:00:00 AM,237
3/10/2023 11:00:00 AM,594
3/10/2023 12:00:00 PM,301
3/10/2023 1:00:00 PM,3231
3/10/2023 2:00:00 PM,1882
3/10/2023 3:00:00 PM,729
3/10/2023 4:00:00 PM,2795
3/10/2023 5:00:00 PM,1885
3/10/2023 6:00:00 PM,1893
3/10/2023 7:00:00 PM,86
3/10/2023 8:00:00 PM,11
3/10/2023 9:00:00 PM,0
3/10/2023 10:00:00 PM,6
3/10/2023 11:00:00 PM,119
