DateTime,SyncDateUTC,Provider,DeviceName
7/8/2023 4:51:18 AM,7/8/2023 4:51:18 AM,Fitbit,Inspire 2
7/8/2023 5:07:19 AM,7/8/2023 5:07:19 AM,Fitbit,Inspire 2
7/8/2023 5:23:19 AM,7/8/2023 5:23:19 AM,Fitbit,Inspire 2
7/8/2023 5:39:19 AM,7/8/2023 5:39:19 AM,Fitbit,Inspire 2
7/8/2023 5:55:19 AM,7/8/2023 5:55:19 AM,Fitbit,Inspire 2
7/8/2023 6:11:20 AM,7/8/2023 6:11:20 AM,Fitbit,Inspire 2
7/8/2023 6:27:19 AM,7/8/2023 6:27:19 AM,Fitbit,Inspire 2
7/8/2023 6:44:20 AM,7/8/2023 6:44:20 AM,Fitbit,Inspire 2
7/8/2023 7:00:20 AM,7/8/2023 7:00:20 AM,Fitbit,Inspire 2
7/8/2023 7:16:20 AM,7/8/2023 7:16:20 AM,Fitbit,Inspire 2
7/8/2023 7:33:17 AM,7/8/2023 7:33:17 AM,Fitbit,Inspire 2
7/8/2023 7:49:16 AM,7/8/2023 7:49:16 AM,Fitbit,Inspire 2
7/8/2023 8:37:25 AM,7/8/2023 8:37:25 AM,Fitbit,Inspire 2
7/8/2023 8:53:24 AM,7/8/2023 8:53:24 AM,Fitbit,Inspire 2
7/8/2023 9:39:03 AM,7/8/2023 9:39:03 AM,Fitbit,Inspire 2
7/9/2023 6:22:25 AM,7/9/2023 6:22:25 AM,Fitbit,Inspire 2
7/9/2023 6:38:22 AM,7/9/2023 6:38:22 AM,Fitbit,Inspire 2
7/9/2023 6:55:22 AM,7/9/2023 6:55:22 AM,Fitbit,Inspire 2
7/9/2023 7:11:22 AM,7/9/2023 7:11:22 AM,Fitbit,Inspire 2
7/9/2023 7:27:22 AM,7/9/2023 7:27:22 AM,Fitbit,Inspire 2
7/9/2023 7:43:22 AM,7/9/2023 7:43:22 AM,Fitbit,Inspire 2
7/9/2023 7:59:22 AM,7/9/2023 7:59:22 AM,Fitbit,Inspire 2
7/9/2023 8:31:51 AM,7/9/2023 8:31:51 AM,Fitbit,Inspire 2
7/9/2023 8:47:50 AM,7/9/2023 8:47:50 AM,Fitbit,Inspire 2
7/9/2023 9:03:50 AM,7/9/2023 9:03:50 AM,Fitbit,Inspire 2
7/9/2023 9:19:50 AM,7/9/2023 9:19:50 AM,Fitbit,Inspire 2
7/9/2023 9:35:51 AM,7/9/2023 9:35:51 AM,Fitbit,Inspire 2
7/9/2023 10:43:57 AM,7/9/2023 10:43:57 AM,Fitbit,Inspire 2
7/9/2023 10:54:49 AM,7/9/2023 10:54:49 AM,Fitbit,Inspire 2
7/9/2023 10:54:59 AM,7/9/2023 10:54:59 AM,Fitbit,Inspire 2
7/9/2023 10:58:06 AM,7/9/2023 10:58:06 AM,Fitbit,Inspire 2
7/9/2023 10:58:49 AM,7/9/2023 10:58:49 AM,Fitbit,Inspire 2
7/9/2023 11:14:58 AM,7/9/2023 11:14:58 AM,Fitbit,Inspire 2
7/9/2023 11:30:57 AM,7/9/2023 11:30:57 AM,Fitbit,Inspire 2
7/9/2023 11:46:57 AM,7/9/2023 11:46:57 AM,Fitbit,Inspire 2
7/9/2023 12:02:58 PM,7/9/2023 12:02:58 PM,Fitbit,Inspire 2
7/9/2023 12:18:57 PM,7/9/2023 12:18:57 PM,Fitbit,Inspire 2
7/9/2023 12:34:58 PM,7/9/2023 12:34:58 PM,Fitbit,Inspire 2
7/9/2023 12:50:58 PM,7/9/2023 12:50:58 PM,Fitbit,Inspire 2
7/9/2023 1:06:58 PM,7/9/2023 1:06:58 PM,Fitbit,Inspire 2
7/9/2023 1:38:26 PM,7/9/2023 1:38:26 PM,Fitbit,Inspire 2
7/9/2023 2:40:03 PM,7/9/2023 2:40:03 PM,Fitbit,Inspire 2
7/9/2023 3:40:22 PM,7/9/2023 3:40:22 PM,Fitbit,Inspire 2
7/9/2023 3:56:21 PM,7/9/2023 3:56:21 PM,Fitbit,Inspire 2
7/9/2023 4:12:22 PM,7/9/2023 4:12:22 PM,Fitbit,Inspire 2
7/9/2023 4:43:20 PM,7/9/2023 4:43:20 PM,Fitbit,Inspire 2
7/9/2023 4:59:19 PM,7/9/2023 4:59:19 PM,Fitbit,Inspire 2
7/9/2023 5:17:44 PM,7/9/2023 5:17:44 PM,Fitbit,Inspire 2
7/9/2023 6:18:25 PM,7/9/2023 6:18:25 PM,Fitbit,Inspire 2
7/9/2023 6:34:24 PM,7/9/2023 6:34:24 PM,Fitbit,Inspire 2
7/9/2023 7:20:28 PM,7/9/2023 7:20:28 PM,Fitbit,Inspire 2
7/9/2023 7:36:24 PM,7/9/2023 7:36:24 PM,Fitbit,Inspire 2
7/9/2023 7:52:24 PM,7/9/2023 7:52:24 PM,Fitbit,Inspire 2
7/9/2023 8:21:41 PM,7/9/2023 8:21:41 PM,Fitbit,Inspire 2
7/9/2023 8:38:24 PM,7/9/2023 8:38:24 PM,Fitbit,Inspire 2
7/9/2023 9:21:47 PM,7/9/2023 9:21:47 PM,Fitbit,Inspire 2
7/9/2023 9:37:46 PM,7/9/2023 9:37:46 PM,Fitbit,Inspire 2
7/9/2023 9:53:46 PM,7/9/2023 9:53:46 PM,Fitbit,Inspire 2
7/9/2023 10:09:46 PM,7/9/2023 10:09:46 PM,Fitbit,Inspire 2
7/9/2023 10:25:46 PM,7/9/2023 10:25:46 PM,Fitbit,Inspire 2
7/9/2023 10:56:39 PM,7/9/2023 10:56:39 PM,Fitbit,Inspire 2
7/9/2023 11:12:39 PM,7/9/2023 11:12:39 PM,Fitbit,Inspire 2
7/9/2023 11:28:39 PM,7/9/2023 11:28:39 PM,Fitbit,Inspire 2
7/10/2023 12:58:34 AM,7/10/2023 12:58:34 AM,Fitbit,Inspire 2
7/10/2023 1:59:15 AM,7/10/2023 1:59:15 AM,Fitbit,Inspire 2
7/10/2023 2:15:14 AM,7/10/2023 2:15:14 AM,Fitbit,Inspire 2
7/10/2023 2:31:14 AM,7/10/2023 2:31:14 AM,Fitbit,Inspire 2
7/10/2023 3:38:58 AM,7/10/2023 3:38:58 AM,Fitbit,Inspire 2
7/10/2023 3:54:58 AM,7/10/2023 3:54:58 AM,Fitbit,Inspire 2
7/10/2023 4:11:58 AM,7/10/2023 4:11:58 AM,Fitbit,Inspire 2
7/10/2023 4:27:58 AM,7/10/2023 4:27:58 AM,Fitbit,Inspire 2
7/10/2023 4:43:58 AM,7/10/2023 4:43:58 AM,Fitbit,Inspire 2
7/10/2023 4:59:58 AM,7/10/2023 4:59:58 AM,Fitbit,Inspire 2
7/10/2023 5:15:59 AM,7/10/2023 5:15:59 AM,Fitbit,Inspire 2
7/10/2023 5:31:59 AM,7/10/2023 5:31:59 AM,Fitbit,Inspire 2
7/10/2023 5:52:35 AM,7/10/2023 5:52:35 AM,Fitbit,Inspire 2
7/10/2023 6:08:34 AM,7/10/2023 6:08:34 AM,Fitbit,Inspire 2
7/10/2023 6:52:52 AM,7/10/2023 6:52:52 AM,Fitbit,Inspire 2
7/10/2023 7:08:52 AM,7/10/2023 7:08:52 AM,Fitbit,Inspire 2
7/10/2023 7:53:41 AM,7/10/2023 7:53:41 AM,Fitbit,Inspire 2
7/10/2023 8:09:41 AM,7/10/2023 8:09:41 AM,Fitbit,Inspire 2
7/10/2023 8:54:28 AM,7/10/2023 8:54:28 AM,Fitbit,Inspire 2
7/10/2023 9:10:24 AM,7/10/2023 9:10:24 AM,Fitbit,Inspire 2
7/10/2023 9:27:24 AM,7/10/2023 9:27:24 AM,Fitbit,Inspire 2
7/10/2023 9:50:39 AM,7/10/2023 9:50:39 AM,Fitbit,Inspire 2
7/10/2023 10:51:53 AM,7/10/2023 10:51:53 AM,Fitbit,Inspire 2
7/10/2023 11:18:59 AM,7/10/2023 11:18:59 AM,Fitbit,Inspire 2
7/10/2023 11:46:35 AM,7/10/2023 11:46:35 AM,Fitbit,Inspire 2
7/10/2023 12:15:04 PM,7/10/2023 12:15:04 PM,Fitbit,Inspire 2
7/10/2023 1:15:59 PM,7/10/2023 1:15:59 PM,Fitbit,Inspire 2
