DateTime,SyncDateUTC,Provider,DeviceName
3/6/2023 7:57:19 AM,3/6/2023 7:57:19 AM,Fitbit,Alta HR
3/6/2023 7:59:14 AM,3/6/2023 7:59:14 AM,Fitbit,Alta HR
3/6/2023 8:14:35 AM,3/6/2023 8:14:35 AM,Fitbit,Alta HR
3/6/2023 8:29:52 AM,3/6/2023 8:29:52 AM,Fitbit,Alta HR
3/6/2023 8:45:08 AM,3/6/2023 8:45:08 AM,Fitbit,Alta HR
3/6/2023 1:06:16 PM,3/6/2023 1:06:16 PM,Fitbit,Alta HR
3/7/2023 1:04:13 AM,3/7/2023 1:04:13 AM,Fitbit,Alta HR
3/7/2023 1:04:38 AM,3/7/2023 1:04:38 AM,Fitbit,Alta HR
3/9/2023 9:06:10 PM,3/9/2023 9:06:10 PM,Fitbit,Alta HR
3/10/2023 9:38:16 PM,3/10/2023 9:38:16 PM,Fitbit,Alta HR
3/10/2023 11:12:50 PM,3/10/2023 11:12:50 PM,Fitbit,Alta HR
3/14/2023 12:40:46 PM,3/14/2023 12:40:46 PM,Fitbit,Alta HR
3/17/2023 9:21:02 PM,3/17/2023 9:21:02 PM,Fitbit,Alta HR
3/17/2023 9:24:42 PM,3/17/2023 9:24:42 PM,Fitbit,Alta HR
3/17/2023 9:25:11 PM,3/17/2023 9:25:11 PM,Fitbit,Alta HR
3/19/2023 12:54:29 AM,3/19/2023 12:54:29 AM,Fitbit,Alta HR
3/19/2023 1:47:57 AM,3/19/2023 1:47:57 AM,Fitbit,Alta HR
3/19/2023 2:03:12 AM,3/19/2023 2:03:12 AM,Fitbit,Alta HR
3/20/2023 9:31:48 PM,3/20/2023 9:31:48 PM,Fitbit,Alta HR
3/22/2023 12:07:24 AM,3/22/2023 12:07:24 AM,Fitbit,Alta HR
3/22/2023 1:47:36 AM,3/22/2023 1:47:36 AM,Fitbit,Alta HR
3/22/2023 9:49:58 PM,3/22/2023 9:49:58 PM,Fitbit,Alta HR
3/22/2023 9:56:25 PM,3/22/2023 9:56:25 PM,Fitbit,Alta HR
3/22/2023 11:58:00 PM,3/22/2023 11:58:00 PM,Fitbit,Alta HR
3/23/2023 12:18:02 AM,3/23/2023 12:18:02 AM,Fitbit,Alta HR
3/23/2023 1:02:01 AM,3/23/2023 1:02:01 AM,Fitbit,Alta HR
3/23/2023 1:21:40 AM,3/23/2023 1:21:40 AM,Fitbit,Alta HR
3/23/2023 1:36:55 AM,3/23/2023 1:36:55 AM,Fitbit,Alta HR
3/23/2023 11:52:30 PM,3/23/2023 11:52:30 PM,Fitbit,Alta HR
3/25/2023 1:45:30 AM,3/25/2023 1:45:30 AM,Fitbit,Alta HR
3/28/2023 5:33:11 PM,3/28/2023 5:33:11 PM,Fitbit,Alta HR
3/28/2023 7:30:31 PM,3/28/2023 7:30:31 PM,Fitbit,Alta HR
3/30/2023 6:52:38 PM,3/30/2023 6:52:38 PM,Fitbit,Alta HR
3/30/2023 6:54:14 PM,3/30/2023 6:54:14 PM,Fitbit,Alta HR
3/31/2023 10:22:48 PM,3/31/2023 10:22:48 PM,Fitbit,Alta HR
3/31/2023 10:39:55 PM,3/31/2023 10:39:55 PM,Fitbit,Alta HR
3/31/2023 11:08:12 PM,3/31/2023 11:08:12 PM,Fitbit,Alta HR
4/1/2023 12:44:29 AM,4/1/2023 12:44:29 AM,Fitbit,Alta HR
4/1/2023 5:49:04 PM,4/1/2023 5:49:04 PM,Fitbit,Alta HR
4/2/2023 11:17:46 PM,4/2/2023 11:17:46 PM,Fitbit,Alta HR
4/5/2023 12:03:55 AM,4/5/2023 12:03:55 AM,Fitbit,Alta HR
4/5/2023 7:30:01 PM,4/5/2023 7:30:01 PM,Fitbit,Alta HR
4/6/2023 11:43:39 PM,4/6/2023 11:43:39 PM,Fitbit,Alta HR
4/6/2023 11:45:38 PM,4/6/2023 11:45:38 PM,Fitbit,Alta HR
4/7/2023 12:07:07 AM,4/7/2023 12:07:07 AM,Fitbit,Alta HR
4/9/2023 10:15:50 PM,4/9/2023 10:15:50 PM,Fitbit,Alta HR
4/10/2023 11:28:18 PM,4/10/2023 11:28:18 PM,Fitbit,Alta HR
4/12/2023 9:56:23 PM,4/12/2023 9:56:23 PM,Fitbit,Alta HR
4/14/2023 10:50:09 PM,4/14/2023 10:50:09 PM,Fitbit,Alta HR
4/14/2023 11:16:01 PM,4/14/2023 11:16:01 PM,Fitbit,Alta HR
4/15/2023 10:08:20 PM,4/15/2023 10:08:20 PM,Fitbit,Alta HR
4/17/2023 10:04:20 PM,4/17/2023 10:04:20 PM,Fitbit,Alta HR
4/17/2023 10:25:35 PM,4/17/2023 10:25:35 PM,Fitbit,Alta HR
4/18/2023 10:42:43 PM,4/18/2023 10:42:43 PM,Fitbit,Alta HR
4/19/2023 11:07:21 PM,4/19/2023 11:07:21 PM,Fitbit,Alta HR
4/19/2023 11:53:01 PM,4/19/2023 11:53:01 PM,Fitbit,Alta HR
4/20/2023 11:19:48 PM,4/20/2023 11:19:48 PM,Fitbit,Alta HR
4/21/2023 11:06:53 PM,4/21/2023 11:06:53 PM,Fitbit,Alta HR
4/22/2023 2:26:45 AM,4/22/2023 2:26:45 AM,Fitbit,Alta HR
4/22/2023 2:58:37 AM,4/22/2023 2:58:37 AM,Fitbit,Alta HR
4/22/2023 10:37:50 PM,4/22/2023 10:37:50 PM,Fitbit,Alta HR
4/25/2023 9:25:05 PM,4/25/2023 9:25:05 PM,Fitbit,Alta HR
4/25/2023 10:14:53 PM,4/25/2023 10:14:53 PM,Fitbit,Alta HR
4/27/2023 10:21:31 PM,4/27/2023 10:21:31 PM,Fitbit,Alta HR
4/28/2023 10:37:19 PM,4/28/2023 10:37:19 PM,Fitbit,Alta HR
4/28/2023 11:18:03 PM,4/28/2023 11:18:03 PM,Fitbit,Alta HR
4/29/2023 12:05:22 AM,4/29/2023 12:05:22 AM,Fitbit,Alta HR
4/29/2023 9:47:55 PM,4/29/2023 9:47:55 PM,Fitbit,Alta HR
4/29/2023 10:04:36 PM,4/29/2023 10:04:36 PM,Fitbit,Alta HR
4/30/2023 11:26:48 PM,4/30/2023 11:26:48 PM,Fitbit,Alta HR
5/1/2023 11:47:41 PM,5/1/2023 11:47:41 PM,Fitbit,Alta HR
5/2/2023 11:17:03 PM,5/2/2023 11:17:03 PM,Fitbit,Alta HR
5/2/2023 11:43:12 PM,5/2/2023 11:43:12 PM,Fitbit,Alta HR
5/3/2023 10:54:28 PM,5/3/2023 10:54:28 PM,Fitbit,Alta HR
5/3/2023 10:56:39 PM,5/3/2023 10:56:39 PM,Fitbit,Alta HR
5/4/2023 10:53:28 PM,5/4/2023 10:53:28 PM,Fitbit,Alta HR
5/5/2023 11:03:03 PM,5/5/2023 11:03:03 PM,Fitbit,Alta HR
5/5/2023 11:03:45 PM,5/5/2023 11:03:45 PM,Fitbit,Alta HR
5/6/2023 12:01:50 AM,5/6/2023 12:01:50 AM,Fitbit,Alta HR
5/6/2023 2:09:28 AM,5/6/2023 2:09:28 AM,Fitbit,Alta HR
5/6/2023 10:22:37 PM,5/6/2023 10:22:37 PM,Fitbit,Alta HR
5/7/2023 11:05:14 PM,5/7/2023 11:05:14 PM,Fitbit,Alta HR
5/7/2023 11:05:44 PM,5/7/2023 11:05:44 PM,Fitbit,Alta HR
5/8/2023 2:03:24 PM,5/8/2023 2:03:24 PM,Fitbit,Alta HR
5/8/2023 3:23:33 PM,5/8/2023 3:23:33 PM,Fitbit,Alta HR
5/8/2023 10:37:17 PM,5/8/2023 10:37:17 PM,Fitbit,Alta HR
5/8/2023 11:26:49 PM,5/8/2023 11:26:49 PM,Fitbit,Alta HR
5/10/2023 10:28:58 PM,5/10/2023 10:28:58 PM,Fitbit,Alta HR
5/10/2023 11:37:15 PM,5/10/2023 11:37:15 PM,Fitbit,Alta HR
5/14/2023 4:06:04 PM,5/14/2023 4:06:04 PM,Fitbit,Alta HR
5/17/2023 10:20:01 PM,5/17/2023 10:20:01 PM,Fitbit,Alta HR
5/17/2023 10:28:17 PM,5/17/2023 10:28:17 PM,Fitbit,Alta HR
5/17/2023 10:40:48 PM,5/17/2023 10:40:48 PM,Fitbit,Alta HR
5/17/2023 11:11:32 PM,5/17/2023 11:11:32 PM,Fitbit,Alta HR
